,player_id,player_name,player_hand,player_ht,player_ioc
5231,101797,Jacco Eltingh,R,188.0,NED
5304,102375,Dinu Pescariu,R,185.0,ROU
5312,101774,Todd Martin,R,198.0,USA
5323,101725,Gabriel Markus,R,180.0,ARG
5326,101475,Carlos Costa,R,183.0,ESP
5351,102154,Marcos Ondruska,R,183.0,RSA
5356,101611,Cedric Pioline,R,188.0,FRA
5433,101776,Sandon Stolle,R,193.0,AUS
5436,100768,Nick Brown,R,190.0,GBR
5558,101917,Grant Stafford,R,188.0,RSA
5575,102169,Michael Joyce,R,180.0,USA
5581,101591,Danny Sapsford,R,173.0,GBR
5582,101362,Stephane Simian,L,193.0,FRA
5597,101549,Rodolphe Gilbert,L,183.0,FRA
5694,101482,Markus Zoecke,R,196.0,GER
5708,101914,Lars Koslowski,R,188.0,GER
5731,101432,Dimitri Poliakov,R,183.0,UKR
5743,102358,Thomas Enqvist,R,190.0,SWE
5815,102446,Andrei Medvedev,R,193.0,UKR
5817,101582,Gilbert Schaller,R,180.0,AUT
5825,101504,Laurent Prades,L,183.0,FRA
5826,101945,Thierry Guardiola,R,188.0,FRA
5830,101685,Markus Naewie,R,190.0,GER
5841,101016,Marcos Aurelio Gorriz,L,185.0,ESP
5842,101721,Markus Zillner,L,178.0,GER
5851,102001,German Lopez,R,193.0,ESP
5854,102201,Lionel Roux,R,185.0,FRA
5861,102184,David Prinosil,R,185.0,GER
5865,101552,Xavier Daufresne,R,193.0,BEL
5936,101647,Byron Black,R,175.0,ZIM
5937,101311,Kent Kinnear,R,196.0,USA
5945,101463,Bernd Karbacher,R,185.0,GER
5952,210013,Martin Damm Sr,R,188.0,CZE
5955,101955,Luis Herrera,L,170.0,MEX
5969,101373,Karsten Braasch,L,180.0,GER
5978,101956,Mark Knowles,R,190.0,BAH
5988,101681,Chris Wilkinson,R,180.0,GBR
5989,101835,Arne Thoms,R,188.0,GER
6098,101890,Jonathan Stark,R,188.0,USA
6103,101806,Marc Kevin Goellner,R,196.0,GER
6111,101312,Robbie Weiss,R,183.0,USA
6114,102368,Brian Dunn,R,201.0,USA
6115,101901,Chuck Adams,R,185.0,USA
6200,101593,Chris Garner,R,180.0,USA
6207,102202,Kenneth Carlsen,L,190.0,DEN
6216,101920,Jamie Morgan,R,185.0,AUS
6222,101601,Brett Steven,R,185.0,NZL
6223,101844,Heath Denman,R,183.0,AUS
6226,101360,Mark Keil,R,185.0,USA
6230,101888,Daniel Vacek,R,190.0,CZE
6322,101594,Carsten Arriens,R,193.0,GER
6328,101375,Brian Devening,R,185.0,USA
6330,101897,Fernando Meligeni,L,180.0,BRA
6331,101902,Stephane Huet,L,180.0,FRA
6336,101531,Mario Visconti,R,185.0,ITA
6341,101746,Renzo Furlan,R,175.0,ITA
6349,102238,Alberto Berasategui,R,173.0,ESP
6360,102338,Yevgeny Kafelnikov,R,190.0,RUS
6368,101711,Alex Obrien,R,185.0,USA
6446,102198,Paul Kilderry,R,175.0,AUS
6449,102030,Andrew Foster,R,190.0,GBR
6454,102133,Laurence Tieleman,R,180.0,ITA
6456,102158,Patrick Rafter,R,185.0,AUS
6457,101416,Joao Cunha Silva,R,173.0,POR
6472,102457,Miles Maclagan,R,180.0,GBR
6495,101348,Dave Randall,R,183.0,USA
6504,102205,Sebastien Lareau,R,183.0,CAN
6572,101788,Doug Flach,R,183.0,USA
6589,101430,Sergio Cortes,R,170.0,CHI
6611,102061,Kevin Ullyett,R,178.0,ZIM
6612,102035,Jonas Bjorkman,R,183.0,SWE
6627,101639,Lan Bale,R,175.0,RSA
6707,102029,Filip Dewulf,R,190.0,BEL
6708,102088,Joern Renzenbrink,R,196.0,GER
6710,102006,Brent Larkham,R,178.0,AUS
